Consecutivo de pregunta;Pregunta;Variable homologada;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2000;1999;1998;;;
455;Respeto por los adultos mayores, ancianos;P455;RC4_3;RC4_3;RC4_2;;P70N;;;;;;;;;;;;
456;Respeto por los niños y niñas;P456;RC4_4;RC4_4;RC4_3;;;;;;;;;;;;;;
457;Respeto por las personas con discapacidad;P457;RC4_5;RC4_5;RC4_4;;P70O;;;;;;;;;;;;
458;Respeto por los desplazados por la violencia;P458;RC4_6;RC4_6;RC4_5;;P70P;;;;;;;;;;;;
459;Respeto por los reinsertados/ desmovilizados;P459;RC4_7;RC4_7;;;;;;;;;;;;;;;
460;Respeto por las mujeres;P460;RC4_8;RC4_8;RC4_6;;;;;;;;;;;;;;
461;Respeto por los vecinos;P461;RC4_9;RC4_9;;;;;;;;;;;;;;;
462;Respeto por personas de diferente orientación sexual e identidad de género, gays, lesbianas, bisexuales, transgeneristas;P462;RC4_10;RC4_10;RC4_7;;;;;;;;;;;;;;
463;Respeto por las minorías étnicas, afrodescendientes, indígenas y rom o gitanos;P463;RC4_11;RC4_11;RC4_8;;;;;;;;;;;;;;
464;Solidaridad con los demás cuando requieren ayuda;P464;RC4_12;RC4_12;RC4_9;;;;;;;;;;;;;;
465;Pasarse un semáforo rojo;P465;RC5_1;RC5_1;RC5_1;P81_A;P81A;P54_1;P54_1;P54A;P54A;P54A;P56A;;;;;;
466;No hacer uso de las cebras ;P466;;;;;;P54_2;P54_2;P54B;P54B;P54B;P56B;;;;;;
467;No hacer uso de los puentes peatonales;P467;RC5_2;RC5_2;RC5_2;P81_B;P81B;P54_3;P54_3;P54C;P54C;P54C;P56C;;;;;;
468;No hacer uso de los semáforos para cruzar una calle;P468;;;;;;P54_4;P54_4;P54D;P54D;P54D;P56D;;;;;;
469;Cruzar la calle por sitios prohibidos;P469;RC5_3;RC5_3;RC5_3;P81_C;P81C;;;P54E;P54E;;;;;;;;
470;Incumplir el pico y placa;P470;RC5_4;RC5_4;RC5_4;P81_D;P81D;P54_5;P54_5;P54F;P54F;P54E;P56E;;;;;;
471;Desacatar una norma de construcción y urbanismo;P471;;;;;;;;;;;P56F;;;;;;
472;Violar una norma de construcción y urbanismo;P472;RC5_5;RC5_5;RC5_5;P81_E;P81E;P54_6;P54_6;P54G;P54G;P54F;;;;;;;
473;Arrojar papeles, plásticos o basura a la calle;P473;RC5_6;RC5_6;RC5_6;P81_F;P81F;P54_7;P54_7;P54H;P54H;P54G;P56G;;;;;;
474;Dañar un bien público, como teléfonos, canecas, sillas o lámparas;P474;RC5_7;RC5_7;RC5_7;P81_G;P81G;P54_8;P54_8;P54I;P54I;P54H;P56H;;;;;;
475;Pagar para saltarse los trámites regulares;P475;RC5_8;RC5_8;RC5_8;P81_H;P81H;P54_9;P54_9;P54J;P54J;P54I;P56I;;;;;;
476;Conectarse ilegalmente a servicios públicos;P476;RC5_9;RC5_9;RC5_9;P81_I;P81I;P54_10;P54_10;P54K;P54K;P54J;P56J;;;;;;
477;Invadir espacios públicos;P477;RC5_10;RC5_10;RC5_10;P81_J;P81J;P54_11;P54_11;P54L;P54L;P54K;P56K;;;;;;
478;Invadir espacios públicos con mercancías y ventas ambulantes;P478;;RC5_11;RC5_11;P81_K;P81K;P54_12;P54_12;P54M;P54M;;;;;;;;
479;Invadir espacios públicos con desechos de construcción y basuras;P479;;RC5_12;RC5_12;;;;;P54N;P54N;P54L;P56L;;;;;;
480;Incumplir las normas ambientales;P480;RC5_13;RC5_13;RC5_13;P81_L;P81L;P54_13;P54_13;P54O;P54O;P54M;P56M;;;;;;
481;Poner en riesgo su vida o la de los demás. ;P481;;;;;;P54_14;P54_14;P54P;;P54N;P56N;;;;;;
482;No pagar impuestos;P482;RC5_14;RC5_14;RC5_14;P81_M;P81M;P54_15;P54_15;P54Q;;;;;;;;;
483;Orinar en el espacio público;P483;RC5_15;RC5_15;RC5_15;P81_N;P81N;P54_16;P54_16;;;;;;;;;;
484;Incumplir normas y señales de tránsito;P484;RC5_16;RC5_16;RC5_16;P81_O;P81O;P54_17;P54_17;;;;;;;;;;
485;Exceder los límites de velocidad al conducir;P485;RC5_17;RC5_17;;;P81P;;;;;;;;;;;;
486;Incumplir las normas de seguridad al usar motocicleta, como el no usar casco y chaleco;P486;RC5_18;RC5_18;;;;;;;;;;;;;;;
487;Agredir a una mujer;P487;RC5_19;RC5_19;RC5_17;;;;;;;;;;;;;;
488;Agredir a una niña o niño;P488;RC5_20;RC5_20;RC5_18;;;;;;;;;;;;;;
489;Hablar por celular mientras conduce;P489;RC5_21;RC5_21;RC5_19;P81_Q;P81R;;;;;;;;;;;;
490;No usar paraderos;P490;RC5_22;RC5_22;RC5_20;P81_R;P81S;;;;;;;;;;;;
491;Portar armas;P491;RC5_23;RC5_23;RC5_21;P81_S;;;;;;;;;;;;;
492;Agredir a otra persona;P492;RC5_24;RC5_24;;P81_P;P81Q;;;;;;;;;;;;
493;La población desplazada es uno de los principales problemas de la ciudad.;P493;;;;;;;;;;;P57A;;;;;;
494;La población desplazada es resultado de la situación de violencia del país.;P494;;;;;;;;;;;P57B;;;;;;
495;La mayoría de la población desplazada vive en la calle;P495;;;;;;;;;;;P57C;;;;;;
496;El principal problema de los desplazados es que deambulan por la ciudad sin opciones de trabajo, vivienda y servicios públicos. ;P496;;;;;;;;;;;P57D;;;;;;
497;La población desplazada debería ser sacada de Bogotá y devuelta a sus lugares de origen. ;P497;;;;;;;;;;;P57E;;;;;;
498;Para atender a los desplazados adecuadamente es necesario el trabajo coordinado del gobierno distrital y el gobierno nacional. ;P498;;;;;;;;;;;P57F;;;;;;
499;La población desplazada reduce las posibilidades de empleo, vivienda, educación y servicios públicos para los otros habitantes de la ciudad. ;P499;;;;;;;;;;;P57G;;;;;;
500;En la ciudad se realizan durante el año actividades culturales y recreativas. ¿En cuál o cuáles de las actividades descritas en esta tarjeta participó usted en el último año en Bogotá? ;P500;;;;P82;P82;P136;P136;P54_A;;;;;;;;;
501;Actividades deportivas como espectador (sin incluir por televisión);P501;;;;;;P137_1;P137_1;;;;;;;;;;
502;Practicar algún deporte/actividad física (sin incluir ciclovía);P502;;;;;;P137_2;P137_2;;;;;;;;;;
503;Participar en la Ciclovía;P503;;;;;;P137_3;P137_3;;;;;;;;;;
504;Ir a parques;P504;;;;;;P137_4;P137_4;;;;;;;;;;
505;Teatro  ;P505;;;;;;P137_5;P137_5;;;;;;;;;;
506;Cine;P506;;;;;;P137_6;P137_6;;;;;;;;;;
507;Ver Películas de video;P507;;;;;;;P137_7;;;;;;;;;;
508;Conciertos;P508;;;;;;P137_8;P137_8;;;;;;;;;;
509;Ferias;P509;;;;;;P137_9;P137_9;;;;;;;;;;
510;Conferencias;P510;;;;;;P137_10;P137_10;;;;;;;;;;
511;Festivales ;P511;;;;;;P137_11;P137_11;;;;;;;;;;
512;Tertulias;P512;;;;;;P137_12;P137_12;;;;;;;;;;
513;Carnaval;P513;;;;;;P137_13;P137_13;;;;;;;;;;
514;Ceremonias u oficios religiosos;P514;;;;;;;P137_14;;;;;;;;;;
515;Leer periódicos/revistas;P515;;;;;;;P137_15;;;;;;;;;;
516;Leer libros;P516;;;;;;;P137_16;;;;;;;;;;
517;Visitar museos/galerías;P517;;;;;;P137_17;P137_17;;;;;;;;;;
518;Navegar en internet;P518;;;;;;;P137_18;;;;;;;;;;
519;Baila/ sale a bailar;P519;;;;;;P137_21;P137_21;;;;;;;;;;
520;Leer libros periódicos/revistas;P520;;;;;;P137_22;;;;;;;;;;;
521;Otra ¿cuál? _____________________;P521;;;;;;P137_89;P137_89;;;;;;;;;;
522;Actividades deportivas como espectador (sin incluir por televisión);P522;;;;;;P138_1;P138_1;;;;;;;;;;
523;Practicar algún deporte/actividad física (sin incluir ciclovía);P523;;;;;;P138_2;P138_2;;;;;;;;;;
524;Participar en la Ciclovía;P524;;;;;;P138_3;P138_3;;;;;;;;;;
525;Ir a parques;P525;;;;;;P138_4;P138_4;;;;;;;;;;
526;Teatro  ;P526;;;;;;P138_5;P138_5;;;;;;;;;;
527;Cine;P527;;;;;;P138_6;P138_6;;;;;;;;;;
528;Ver Películas de video;P528;;;;;;;P138_7;;;;;;;;;;
529;Conciertos;P529;;;;;;P138_8;P138_8;;;;;;;;;;
530;Ferias;P530;;;;;;P138_9;P138_9;;;;;;;;;;
531;Conferencias;P531;;;;;;P138_10;P138_10;;;;;;;;;;
532;Festivales ;P532;;;;;;P138_11;P138_11;;;;;;;;;;
533;Tertulias;P533;;;;;;P138_12;P138_12;;;;;;;;;;
534;Carnaval;P534;;;;;;P138_13;P138_13;;;;;;;;;;
535;Ceremonias u oficios religiosos;P535;;;;;;;P138_14;;;;;;;;;;
536;Leer periódicos/revistas;P536;;;;;;;P138_15;;;;;;;;;;
537;Leer libros;P537;;;;;;;P138_16;;;;;;;;;;
538;Visitar museos/galerías;P538;;;;;;P138_17;P138_17;;;;;;;;;;
539;Navegar en internet;P539;;;;;;;P138_18;;;;;;;;;;
540;Baila/ sale a bailar;P540;;;;;;P138_21;P138_21;;;;;;;;;;
541;Leer libros periódicos/revistas;P541;;;;;;P138_22;;;;;;;;;;;
542;Otra ¿cuál? _____________________;P542;;;;;;P138_89;P138_89;;;;;;;;;;
543;Actividades deportivas como espectador (sin incluir por televisión);P543;;;;;;;P139_1;;;;;;;;;;
544;Practicar algún deporte/actividad física (sin incluir ciclovía);P544;;;;;;;P139_2;;;;;;;;;;
545;Participar en la Ciclovía;P545;;;;;;;P139_4;;;;;;;;;;
546;Ir a parques;P546;;;;;;;P139_5;;;;;;;;;;
547;Teatro  ;P547;;;;;;;P139_6;;;;;;;;;;
548;Cine;P548;;;;;;;P139_7;;;;;;;;;;
549;Ver Películas de video;P549;;;;;;;P139_8;;;;;;;;;;
550;Conciertos;P550;;;;;;;P139_9;;;;;;;;;;
551;Ferias;P551;;;;;;;P139_10;;;;;;;;;;
552;Conferencias;P552;;;;;;;P139_11;;;;;;;;;;
553;Festivales ;P553;;;;;;;P139_12;;;;;;;;;;
554;Tertulias;P554;;;;;;;P139_13;;;;;;;;;;
555;Carnaval;P555;;;;;;;P139_14;;;;;;;;;;
556;Ceremonias u oficios religiosos;P556;;;;;;;P139_15;;;;;;;;;;
557;Leer periódicos/revistas;P557;;;;;;;P139_16;;;;;;;;;;
558;Leer libros;P558;;;;;;;P139_17;;;;;;;;;;
559;Visitar museos/galerías;P559;;;;;;;;;;;;;;;;;
560;Navegar en internet;P560;;;;;;;P139_18;;;;;;;;;;
561;Baila/ sale a bailar;P561;;;;;;;P139_21;;;;;;;;;;
562;Leer libros periódicos/revistas;P562;;;;;;;;;;;;;;;;;
563;Otra ¿cuál? _____________________;P563;;;;;;;P139_89;;;;;;;;;;
564;De la siguiente lista de bibliotecas del distrito que le voy a entregar, podría indicarme si en el último año usted ha visitado alguna de ellas, cuales? ;P564;;;;;;;;P54_D;;;;;;;;;
565;La adopción de niños por parte de parejas homosexuales;P565;;DE1_1;;;;;;;;;;;;;;;
566;La legalización del aborto en todos los casos;P566;;DE1_2;;;;;;;;;;;;;;;
567;Edad;P567;;DE1_3;;;;;;;;;;;;;;;
568;Raza o grupo étnico;P568;;DE1_4;;;;;;;;;;;;;;;
569;"Género; por ser hombre o mujer";P569;DE2_1;DE2_1;;;;;;;;;;;;;;;
570;Orientación sexual o identidad de género;P570;DE2_2;DE2_2;;;;;;;;;;;;;;;
571;Condición económica;P571;DE2_3;DE2_3;;;;;;;;;;;;;;;
572;Tener alguna discapacidad;P572;DE2_4;DE2_4;;;;;;;;;;;;;;;
573;Ser desplazados;P573;DE2_5;DE2_5;;;;;;;;;;;;;;;
574;Ser desmovilizados/ reinsertados;P574;DE2_6;DE2_6;;;;;;;;;;;;;;;
575;actividades culturales. ¿En cuál o cuáles de las actividades descritas en esta tarjeta participó usted en el último año en Bogotá? ;P575;DE2_7;DE2_7;;;;;;;;;;;;;;;
576;¿Qué tan satisfecho(a) está usted en general con la oferta cultural de la ciudad;P576;DE2_8;DE2_8;;;;P140;P140;;;;;;;;;;
577;¿Por qué razón califica así la satisfacción con la oferta cultural y recreativa de la ciudad?12;P577;CR1;CR1;CR1;;;;;;;;;;;;;;
578;¿Por qué razón califica así la satisfacción con la oferta cultural y recreativa de la ciudad?3;P578;CR2;CR2;CR2;P83;P83;;;;;;;;;;;;
579;¿Por qué razón califica así la satisfacción con la oferta cultural y recreativa de la ciudad?45;P579;;;;;P84_12;;;;;;;;;;;;
580;actividades recreativas. ¿En cuál o cuáles de las actividades descritas en esta tarjeta participó usted en el último año en Bogotá? ;P580;;;;;P84_3;;;;;;;;;;;;
581;¿Usted ha visitado durante el último año alguna de las bibliotecas públicas de la ciudad?;P581;;;;;P84_45;;;;;;;;;;;;
582;¿Qué tan satisfecho(a) está usted en general con la oferta recreativa de la ciudad ;P582;CR3;;;;;;;;;;;;;;;;
583;, ¿qué tan satisfecho(a) está usted en general con las bibliotecas públicas de Bogotá?;P583;;CR3;;;;;;;;;;;;;;;
584;Actualmente Usted _____? ;P584;CR4;;;;;P55;P55;P55;P55;P55;P58;v167;;v172;;;
585;Usted percibe que, en general el trayecto a su trabajo o estudio en el último año, ¿toma el mismo tiempo, toma más tiempo, o toma menos tiempo que el año pasado?;P585;;CR4;;;;P56;P56;P56;P56;P56;P59;v168;;v173;;;
586;horas;P586;;;;;;;;;P57_1;P57_1;P60_HORAS;;;;;;
587;minutos;P587;;;;;;;;;P57_2;P57_2;P60_MINUTOS;;;;;;
588;Ud. percibe que, en general el trayecto a su trabajo o estudio en el último año, ¿toma el mismo tiempo, mas  tiempo, o menos tiempo que el año pasado? ;P588;;;;;;;P56A;P56A;NVP57;NVP57;;;;;;;
589;¿Pensando en el trayecto normal que usted realiza para llegar de su casa al trabajo/estudio, podría indicarme cuántos medios de transporte usa Ud.?;P589;;;;;;;P56A1;P56A1;;;;;;;;;
590;¿Qué medio de transporte usa Usted principalmente para desplazarse a su trabajo, oficina o estudio? ;P590;MV1;MV1;MV1;P85;P85;P58;P58;P58;P58;P58;P61;v169;;v174;;;
591;¿Por qué razón se moviliza a pié?;P591;MV2;MV2;MV2;P86;P86;;;;;;;;;;;;
592;¿qué tan satisfecho(a) está usted con el medio de transporte que utiliza principalmente?;P592;MV3;MV3;MV3;P87;P87;;;P59;P59;P59;P62;v170;;v175;;;
593;¿Por qué razón califica así la satisfacción con ese medio de transporte? MV4_12;P593;;;;;P88;;;P60A;P60_1;P60_1;P63_1;v171;;v176;;;
594;¿Por qué razón califica así la satisfacción con ese medio de transporte? MV4_3;P594;MV4;MV4;MV4;P89;P89;;;;;P60_2;P63_2;;;;;;
595;¿Por qué razón califica así la satisfacción con ese medio de transporte? MV4_45;P595;;MV4_12;MV4A_12;P90A;P90_12;;;;;;;;;;;;
596;) ¿Cuáles de los siguientes aspectos considera que son las 3 principales fortalezas del sistema de transporte TransMilenio? ;P596;;;;;;P58A;P58A;;;;;;;;;;
597;¿Y cuáles considera que son las 3 principales debilidades del sistema de transporte TransMilenio? ;P597;;;;;;P58B;P58B;;;;;;;;;;
598;¿Cómo califica este medio de transporte de 1 a 5 siendo 1 muy malo y 5 muy bueno. ;P598;;;;;;P59;P59;;;;;;;;;;
599;Podría decirme por qué razón califica así este medio de transporte?12;P599;;;;;;P60A;P60A;;;;;;;;;;
600;Como consecuencia del servicio de Transmilenio, usted diría que la calidad de vida en la ciudad ¿mejoró mucho, mejoró, sigue igual, empeoró o empeoró mucho frente a la que Ud. tenía antes de que existiera este servicio? ;P600;;;;;;P60B;P60B;P60B;;;;;;;;;
601;Hablando de Transmilenio ¿a Usted le parece que el servicio mejoró mucho, mejoró algo, sigue igual, empeoró algo o empeoró mucho, con respecto al año pasado? ;P601;;MV4_3;MV4A_3;P90B;P90_3;;;;;;;;;;;;
602;Comparando el servicio de Transmilenio con el de los buses, busetas y colectivos, ¿Transmilenio le parece _____? ;P602;;MV4_45;MV4A_45;P90C;P90_45;P60C;P60C;P60C;;;;;;;;;
603;¿Utiliza Ud. –para su transporte en bicicleta, así sea sólo en parte de su recorrido– alguna de las ciclo rutas de la ciudad?;P603;;;;;;;P61;P61;P61;P61;P65;;;;;;
604;¿Por qué? ;P604;;;;;;;P61A;P61A;P61A;P61A;;;;;;;
605;¿Esa ciclo ruta la usa...;P605;;;;;;;;P61B;P61B;P61B;;;;;;;
606;Cómo califica Ud. las ciclo rutas de la ciudad;P606;;;;;;;P62;P62;P62;P62;P66;;;;;;
607;¿por qué razón califica así las ciclo rutas de la ciudad? ;P607;;;;;;;P63A;P63A;P63_1;P63_1;P67_1;;;;;;
608;¿por qué razón califica así las ciclo rutas de la ciudad? 45;P608;;;;;;;;;;P63_2;P67_2;;;;;;
609;La semaforización de vías;P609;MV6;MV6;MV6;P91A;P91;P64_1;P64_1;P64A;P64A;P64A;P64_A;;;;;;
610;"La semaforización de cruces peatonales; estado, mantenimiento y coordinación";P610;;;;;P92;P64_2;P64_2;P64B;P64B;P64B;P64_B;;;;;;
611;"La señalización de vías; suficiencia y coherencia";P611;MV13_1;MV13_1;MV13_1;P93_A;P93A;P64_3;P64_3;P64C;P64C;P64C;P64_C;;;;;;
612;"Las cebras para paso peatonal; suficiencia y demarcación";P612;;MV13_2;MV13_2;P93_B;P93B;P64_4;P64_4;P64D;P64D;P64D;P64_D;;;;;;
613;"Los agentes de tránsito; suficiencia y capacitación";P613;MV13_3;MV13_3;MV13_3;P93_C;P93C;P64_5;P64_5;P64E;P64E;P64E;P64_E;;;;;;
614;"Las campañas educativas; suficiencia y eficacia";P614;MV13_4;MV13_4;MV13_4;P93_D;P93D;P64_6;P64_6;P64F;P64F;P64F;P64_F;;;;;;
615;La organización y control del transporte público;P615;MV13_5;MV13_5;MV13_5;P93_E;P93E;P64_7;P64_7;P64G;P64G;P64G;P64_G;;;;;;
616;"El control al transporte público; suficiencia";P616;MV13_6;MV13_6;MV13_6;P93_F;P93F;P64_8;P64_8;P64H;P64H;P64H;P64_H;;;;;;
617;El control al cumplimiento de normas de tránsito;P617;MV13_7;MV13_7;MV13_7;P93_G;P93G;P64_9;P64_9;P64I;P64I;P64I;P64_I;;;;;;
618;"La atención de accidentes; rapidez y eficiencia";P618;;MV13_8;MV13_8;P93_H;P93H;P64_10;P64_10;P64J;P64J;P64J;P64_J;;;;;;
619;La señalización de las obras;P619;MV13_9;MV13_9;MV13_9;P93_I;P93I;P64_11;P64_11;P64K;P64K;;;;;;;;
620; Los sitios para parquear en la ciudad;P620;MV13_10;MV13_10;MV13_10;P93_J;P93J;;;;;;;;;;;;
621;Los paraderos en la ciudad;P621;MV13_11;MV13_11;MV13_11;P93_K;P93K;;;;;;;;;;;;
622;Los desvíos por obras en la ciudad;P622;MV13_12;MV13_12;MV13_12;P93_L;P93L;;;;;;;;;;;;
623;¿Qué tan satisfecho(a) está usted con el estado de las vías en general de Bogotá usando estas opciones? ;P623;MV13_13;MV13_13;MV13_13;P93_M;P93M;P65;P65;P65;P65;P65;P68;v186;;v191;;;
624;¿Por qué razón califica así la satisfacción con el estado de las vías de la ciudad? 12;P624;MV13_14;MV13_14;MV13_14;P93_N;;P66A;P66A;P66A;P66;P66;P69;v187;;v192;;;
625;en cuanto al tráfico en Bogotá , cómo lo califica Ud;P625;;;;;;;;;;;;v196;;v201;;;
626;Podría decirme por qué razón califica así el tráfico en Bogotá ?;P626;;;;;;;;;;;;v197;;v202;;;
627;cómo califica Ud. el comportamiento de los conductores  en Bogotá ;P627;;;;;;;;;;;;v207;;v212;;;
628;por qué razón califica así el comportamiento de los conductores en Bogotá ? ;P628;;;;;;;;;;;;v208;;v213;;;
629;cómo califica Ud. el comportamiento de los peatones  en Bogotá;P629;;;;;;;;;;;;v217;;v222;;;
630;por qué razón califica así el comportamiento de los peatones en Bogotá? ;P630;;;;;;;;;;;;v218;;v223;;;
631;respecto al uso de las canecas públicas  en Bogotá , por parte de la ciudadanía en general, cómo lo califica Ud;P631;;;;;;;;;;;;v224;;v229;;;
632;Cuáles de las siguientes faltas cometen más frecuentemente los bogotanos con relación al uso de las canecas públicas ? ;P632;;;;;;;;;;;;v225;;v230;;;
633;cómo califica el uso de los teléfonos  públicos en Bogotá;P633;;;;;;;;;;;;v232;;v237;;;
634;Cuales de las siguientes faltas, son las tres que cometen más frecuentemente los bogotanos con relación al servicio de teléfonos públicos ?;P634;;;;;;;;;;;;v233;;v238;;;
635;cómo califica Ud. la solidaridad entre ciudadanos  en Bogotá ;P635;;;;;;;;;;;;v236;;v246;;;
636;por qué razón califica así la solidaridad de los bogotanos entre sí ? ;P636;;;;;;;;;;;;v237;;v247;;;
637;Cómo califica Ud. el nivel de ruido en Bogotá;P637;;;;;;;;;;;;v244;;v254;;;
638;por qué razón califica así el nivel de ruido en Bogotá ? ;P638;;;;;;;;;;;;v245;;v255;;;
639;cómo califica Ud. el nivel de contaminación visual en Bogotá;P639;;;;;;;;;;;;v254;;v264;;;
640;por qué razón califica así el nivel de contaminación visual en Bogotá ? ;P640;;;;;;;;;;;;v255;;v265;;;
641;cómo califica Ud. el nivel de contaminación del aire en Bogotá ;P641;;;;;;;;;;;;v261;;;;;
642;por qué razón califica así el nivel de contaminación del aire en Bogotá ? ;P642;;;;;;;;;;;;v262;;;;;
643;¿Por qué razón califica así la satisfacción con el estado de las vías de la ciudad? 3;P643;MV14;MV14;MV14;P94;P94;;;;;;;;;;;;
644;¿Por qué razón califica así la satisfacción con el estado de las vías de la ciudad? 45;P644;;;;;P95_12;;;;;;;;;;;;
645;¿Qué espera Usted del metro de Bogotá propuesto por el Alcalde Samuel Moreno? ;P645;;;;;P95_3;;;;;;;;;;;;
646;¿Usted cree que el tener vendedores ambulantes en la calle es un problema o no es un problema?;P646;;;;;P95_45;P66B;P66B;P66B;;;;;;;;;
647;¿Por qué cree que tener vendedores ambulantes en la calle SÍ es un problema?;P647;;MV15_CLA;MV15_CLA;P96;P96;P66C;P66C;P66C;;;;;;;;;
648;EXPECTATIVAS POSITIVAS;P648;;;;;P97;;;;;;;;;;;;
649;EXPECTATIVAS NEGATIVAS;P649;;;;;P98;;;;;;;;;;;;
650;¿qué tanto cree Usted que el SITP va a solucionar el problema de movilidad de Bogotá?;P650;;MV15_PO;MV15;P96A;;;;;;;;;;;;;
651;¿Usted qué tan satisfecho(a) se siente con el espacio público disponible en la ciudad usando estas opciones? ;P651;;MV15_NE;;P96B;;;;;;;;;;;;;
652;¿Por qué razón califica así la satisfacción con el espacio público disponible en la ciudad? EP1A_12;P652;;MV16;MV16;;;;;;;;;;;;;;
653;¿Por qué razón califica así la satisfacción con el espacio público disponible en la ciudad? EP1A_3;P653;;EP1;EP1;P97A;;;;;;;;;;;;;
654;¿Por qué razón califica así la satisfacción con el espacio público disponible en la ciudad? EP1A_45;P654;;EP1A_12;EP1A_12;P98A_12;;;;;;;;;;;;;
655;¿cuáles creé Usted que son las TRES mejores alternativas para mejorar la situación de movilidad en la ciudad?;P655;;EP1A_3;EP1A_3;P98A_3;;;;;;;;;;;;;
656;¿Cuál de las siguientes frases refleja mejor lo que Usted conoce sobre el SITP?;P656;;EP1A_45;EP1A_45;P98A_45;;;;;;;;;;;;;
657;Nivel de ruido en Bogotá;P657;;;;;;P67_1;P67_1;P67A;P67A;P67A;P70_A;;;;;;
658;Nivel de contaminación visual;P658;;;;;;P67_2;P67_2;P67B;P67B;P67B;P70_B;;;;;;
659;Nivel de contaminación del aire;P659;;;;;;P67_3;P67_3;P67C;P67C;P67C;P70_C;;;;;;
660;Nivel de contaminación de fuentes de agua ;P660;;;;;;P67_4;P67_4;P67D;P67D;P67D;P70_D;;;;;;
661;Nivel de contaminación en cuanto al manejo de basuras y desechos;P661;;;;;;P67_5;P67_5;P67E;P67E;P67E;P70_E;;;;;;
662;Cantidad de árboles en zonas públicas;P662;;;;;;;P67_6;P67F;P67F;P67F;P70_F;;;;;;
663;Cuidado de los árboles de las zonas públicas;P663;;;;;;;P67_7;P67G;P67G;P67G;P70_G;;;;;;
664;Invasión de  espacios públicos con carros;P664;;;;;;P67_8;P67_8;P67R;P67P;;;;;;;;
665;Invasión de espacios públicos con mercancías ;P665;;;;;;P67_9;P67_9;P67S;P67Q;;;;;;;;
666;Invasión de espacios públicos con desechos de construcción y basuras;P666;;;;;;P67_10;P67_10;P67H;P67H;;;;;;;;
667;Invasión de espacios públicos con vallas, afiches, etc;P667;;;;;;P67_11;P67_11;P67I;P67I;;;;;;;;
668;Invasión de espacios públicos por ventas ambulantes;P668;;;;;;P67_12;P67_12;P67J;;;;;;;;;
669;Cantidad de árboles en zonas públicas;P669;;;;;;P67A_6;;;;;;;;;;;
670;Cuidado de los árboles de las zonas públicas;P670;;;;;;P67A_7;;;;;;;;;;;
671;Cantidad de zonas verdes;P671;;;;;;P67A_13;;;;;;;;;;;
672;¿Cree usted que el nivel de ruido en Bogotá ha disminuido, ha incrementado o sigue igual con respecto al 2006? ;P672;;;;;;P141;P141;;;;;;;;;;
673;¿Cree usted que el nivel de contaminación del aire en Bogotá ha disminuido, ha incrementado o sigue igual con respecto al 2006? ;P673;;;;;;P142;P142;;;;;;;;;;
674;¿Cree usted que el nivel de contaminación visual en Bogotá ha disminuido, ha incrementado o sigue igual con respecto al 2006? ;P674;;;;;;P143;P143;;;;;;;;;;
675;¿Usted qué tan satisfecho(a) se siente con el espacio público disponible en la ciudad;P675;MV20;;;;;;;;;;;;;;;;
676;Con respecto a Generación de Empleo, cuál de estas propuestas escogería:;P676;;;;;;P68_1;;;;P68A;;;;;;;
677;Con respecto a Fortalecimiento de la Seguridad, cuál de estas propuestas escogería ;P677;;;;;;P68_2;;;;P68B;;;;;;;
678;Con respecto a Calidad y Cobertura de la Educación, cuál de estas propuestas escogería ;P678;;;;;;P68_3;;;;P68C;;;;;;;
679;Con respecto a Calidad y Cobertura de la Salud, cuál de estas propuestas escogería;P679;;;;;;P68_4;;;;P68D;;;;;;;
680;Con respecto a Mejoramiento de la Movilidad Vial, cuál de estas propuestas escogería ;P680;;;;;;P68_5;;;;P68E;;;;;;;
681;Con respecto a Incremento del  Espacio Público, cuál de estas propuestas escogería ;P681;;;;;;P68_6;;;;P68F;;;;;;;
682;Con respecto a Más atención a Poblaciones Vulnerables (pobres), cuál de estas propuestas escogería;P682;;;;;;P68_7;;;;P68G;;;;;;;
683;Con respecto a Servicios Públicos, cuál de estas propuestas escogería ;P683;;;;;;P68_8;;;;P68H;;;;;;;
684;Con respecto a Más oferta de Vivienda, cuál de estas propuestas escogería ;P684;;;;;;P68_9;;;;P68I;;;;;;;
685;Con respecto a Fortalecimiento de la Cultura Ciudadana, cuál de estas propuestas escogería ;P685;;;;;;P68_10;;;;P68J;;;;;;;
686;Con respecto a Calidad del Medio Ambiente, cuál de estas propuestas escogería;P686;;;;;;P68_11;;;;P68K;;;;;;;
687;Con respecto a Mejor Gestión Gubernamental, cuál de estas propuestas escogería ;P687;;;;;;P68_12;;;;P68L;;;;;;;
688;Con respecto a Inversión e impuestos, cuál de estas propuestas escogería ;P688;;;;;;P68_14;;;;;;;;;;;
689;Con respecto a Fortalecimiento de las Finanzas del Distrito, cuál de estas propuestas escogería ;P689;;;;;;P68_13;;;;P68M;;;;;;;
690;Con respecto a Participación, cuál de estas propuestas escogería;P690;;;;;;P68_15;;;;;;;;;;;
691;Con respecto a Ciudad - Región, cuál de estas propuestas escogería ;P691;;;;;;P68_16;;;;;;;;;;;
692;¿cuáles serían para Ud. los tres a los que –en su opinión– debería prestarles más atención el próximo alcalde? ;P692;;;;;;P68N2_1;P68N;P68N;P68N;P68N;;;;;;;
693;¿cuáles serían para Ud. los tres a los que –en su opinión– debería prestarles más atención el próximo alcalde? ;P693;;;;;;P68N2_2;;;;;;;;;;;
